tech,cell_type,cell_name,from_pin,to_pin,pol,slew,cap,voltage,temp,delay,wp_over_wn,wp_sum,wn_sum,is_inv,stack_pu,stack_pd,log_slew,log_cap,req_p,req_n,rc_p,rc_n,rc_eff,req_eff,inv_v,inv_temp,pn_balance,is_labeled
ASAP7,NORX1,NOR3x1_ASAP7_6t_L,A,Y,rise,5.0,0.023039999999999998,0.7,25.0,112.215,2.0,2.16e-07,1.08e-07,0,1,1,1.791759469228055,0.022778586889339574,4629629.62962963,9259259.25925926,106666.66666666666,213333.3333333333,106666.66666666666,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,D,Y,rise,40.0,0.0057599999999999995,0.7,25.0,155.404,2.0,2.16e-07,1.08e-07,0,1,1,3.713572066704308,0.005743474627065725,4629629.62962963,9259259.25925926,26666.666666666664,53333.33333333333,26666.666666666664,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NANDX1,NAND3x1_ASAP7_6t_L,A,Y,rise,160.0,0.011519999999999999,0.7,25.0,112.644,0.5,1.08e-07,2.16e-07,0,1,1,5.081404364984463,0.011454150045115854,9259259.25925926,4629629.62962963,106666.66666666666,53333.33333333333,106666.66666666666,9259259.25925926,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,INVX2,INVx2_ASAP7_6t_L,A,Y,rise,5.0,0.0057599999999999995,0.7,25.0,17.4941,1.0,1.08e-07,1.08e-07,1,1,1,1.791759469228055,0.005743474627065725,9259259.25925926,9259259.25925926,53333.33333333333,53333.33333333333,53333.33333333333,9259259.25925926,1.4285714285714286,0.04,0.0,0
ASAP7,NORX1,NOR3x1_ASAP7_6t_L,A,Y,fall,320.0,0.0014399999999999999,0.7,25.0,41.9099,2.0,2.16e-07,1.08e-07,0,1,1,5.771441123130016,0.0014389641942542826,4629629.62962963,9259259.25925926,6666.666666666666,13333.333333333332,13333.333333333332,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NANDX1,NAND2x1_ASAP7_6t_L,A,Y,rise,20.0,0.011519999999999999,0.7,25.0,68.2066,0.5,1.08e-07,2.16e-07,0,1,1,3.044522437723423,0.011454150045115854,9259259.25925926,4629629.62962963,106666.66666666666,53333.33333333333,106666.66666666666,9259259.25925926,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,A,Y,fall,40.0,0.00035999999999999997,0.7,25.0,10.6531,2.0,2.16e-07,1.08e-07,0,1,1,3.713572066704308,0.00035993521554780213,4629629.62962963,9259259.25925926,1666.6666666666665,3333.333333333333,3333.333333333333,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NANDX1,NAND2x1_ASAP7_6t_L,B,Y,rise,160.0,0.0057599999999999995,0.7,25.0,75.8,0.5,1.08e-07,2.16e-07,0,1,1,5.081404364984463,0.005743474627065725,9259259.25925926,4629629.62962963,53333.33333333333,26666.666666666664,53333.33333333333,9259259.25925926,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,NANDX1,NAND3x1_ASAP7_6t_L,C,Y,fall,40.0,0.0007199999999999999,0.7,25.0,10.1207,0.5,1.08e-07,2.16e-07,0,1,1,3.713572066704308,0.0007197409243488539,9259259.25925926,4629629.62962963,6666.666666666666,3333.333333333333,3333.333333333333,4629629.62962963,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,B,Y,fall,160.0,0.023039999999999998,0.7,25.0,144.055,2.0,2.16e-07,1.08e-07,0,1,1,5.081404364984463,0.022778586889339574,4629629.62962963,9259259.25925926,106666.66666666666,213333.3333333333,213333.3333333333,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NANDX1,NAND2x1p5_ASAP7_6t_L,A,Y,fall,5.0,0.00035999999999999997,0.7,25.0,4.85872,0.5,1.08e-07,2.16e-07,0,1,1,1.791759469228055,0.00035993521554780213,9259259.25925926,4629629.62962963,3333.333333333333,1666.6666666666665,1666.6666666666665,4629629.62962963,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,NANDX1,NAND2x1p5_ASAP7_6t_L,B,Y,fall,160.0,0.0007199999999999999,0.7,25.0,5.46547,0.5,1.08e-07,2.16e-07,0,1,1,5.081404364984463,0.0007197409243488539,9259259.25925926,4629629.62962963,6666.666666666666,3333.333333333333,3333.333333333333,4629629.62962963,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,B,Y,rise,160.0,0.023039999999999998,0.7,25.0,565.267,2.0,2.16e-07,1.08e-07,0,1,1,5.081404364984463,0.022778586889339574,4629629.62962963,9259259.25925926,106666.66666666666,213333.3333333333,106666.66666666666,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,C,Y,rise,5.0,0.0007199999999999999,0.7,25.0,36.2162,2.0,2.16e-07,1.08e-07,0,1,1,1.791759469228055,0.0007197409243488539,4629629.62962963,9259259.25925926,3333.333333333333,6666.666666666666,3333.333333333333,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR3x1f_ASAP7_6t_L,A,Y,fall,10.0,0.0007199999999999999,0.7,25.0,8.3372,2.0,2.16e-07,1.08e-07,0,1,1,2.3978952727983707,0.0007197409243488539,4629629.62962963,9259259.25925926,3333.333333333333,6666.666666666666,6666.666666666666,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NANDX1,NAND3x1_ASAP7_6t_L,C,Y,rise,160.0,0.0014399999999999999,0.7,25.0,53.8544,0.5,1.08e-07,2.16e-07,0,1,1,5.081404364984463,0.0014389641942542826,9259259.25925926,4629629.62962963,13333.333333333332,6666.666666666666,13333.333333333332,9259259.25925926,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,INVX1,INVx13_ASAP7_6t_L,A,Y,fall,160.0,0.7372799999999999,0.7,25.0,290.576,1.0,5.4e-08,5.4e-08,1,1,1,5.081404364984463,0.5523206717349491,18518518.51851852,18518518.51851852,13653333.333333332,13653333.333333332,13653333.333333332,18518518.51851852,1.4285714285714286,0.04,0.0,0
ASAP7,NANDX1,NAND3x1_ASAP7_6t_L,A,Y,rise,10.0,0.0014399999999999999,0.7,25.0,15.0001,0.5,1.08e-07,2.16e-07,0,1,1,2.3978952727983707,0.0014389641942542826,9259259.25925926,4629629.62962963,13333.333333333332,6666.666666666666,13333.333333333332,9259259.25925926,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,INVX1,INVx1_ASAP7_6t_L,A,Y,rise,320.0,0.0028799999999999997,0.7,25.0,68.1681,1.0,5.4e-08,5.4e-08,1,1,1,5.771441123130016,0.002875860745464264,18518518.51851852,18518518.51851852,53333.33333333333,53333.33333333333,53333.33333333333,18518518.51851852,1.4285714285714286,0.04,0.0,0
ASAP7,NORX1,NOR3x1_ASAP7_6t_L,B,Y,fall,160.0,0.0007199999999999999,0.7,25.0,30.2693,2.0,2.16e-07,1.08e-07,0,1,1,5.081404364984463,0.0007197409243488539,4629629.62962963,9259259.25925926,3333.333333333333,6666.666666666666,6666.666666666666,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR2x1_ASAP7_6t_L,A,Y,rise,10.0,0.023039999999999998,0.7,25.0,114.111,2.0,2.16e-07,1.08e-07,0,1,1,2.3978952727983707,0.022778586889339574,4629629.62962963,9259259.25925926,106666.66666666666,213333.3333333333,106666.66666666666,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,INVX1,INVx11_ASAP7_6t_L,A,Y,fall,40.0,0.0057599999999999995,0.7,25.0,9.48213,1.0,5.4e-08,5.4e-08,1,1,1,3.713572066704308,0.005743474627065725,18518518.51851852,18518518.51851852,106666.66666666666,106666.66666666666,106666.66666666666,18518518.51851852,1.4285714285714286,0.04,0.0,0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,C,Y,fall,5.0,0.00035999999999999997,0.7,25.0,6.55751,2.0,2.16e-07,1.08e-07,0,1,1,1.791759469228055,0.00035993521554780213,4629629.62962963,9259259.25925926,1666.6666666666665,3333.333333333333,3333.333333333333,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR3x1f_ASAP7_6t_L,A,Y,fall,320.0,0.0028799999999999997,0.7,25.0,42.1285,2.0,2.16e-07,1.08e-07,0,1,1,5.771441123130016,0.002875860745464264,4629629.62962963,9259259.25925926,13333.333333333332,26666.666666666664,26666.666666666664,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,INVX1,INVx11_ASAP7_6t_L,A,Y,fall,40.0,0.046079999999999996,0.7,25.0,30.778,1.0,5.4e-08,5.4e-08,1,1,1,3.713572066704308,0.04504984455370874,18518518.51851852,18518518.51851852,853333.3333333333,853333.3333333333,853333.3333333333,18518518.51851852,1.4285714285714286,0.04,0.0,0
ASAP7,NORX1,NOR3x1f_ASAP7_6t_L,A,Y,fall,160.0,0.0007199999999999999,0.7,25.0,14.6777,2.0,2.16e-07,1.08e-07,0,1,1,5.081404364984463,0.0007197409243488539,4629629.62962963,9259259.25925926,3333.333333333333,6666.666666666666,6666.666666666666,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NANDX1,NAND3x1_ASAP7_6t_L,A,Y,fall,5.0,0.0028799999999999997,0.7,25.0,13.9346,0.5,1.08e-07,2.16e-07,0,1,1,1.791759469228055,0.002875860745464264,9259259.25925926,4629629.62962963,26666.666666666664,13333.333333333332,13333.333333333332,4629629.62962963,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,NORX1,NOR3x1_ASAP7_6t_L,B,Y,rise,20.0,0.0014399999999999999,0.7,25.0,17.0562,2.0,2.16e-07,1.08e-07,0,1,1,3.044522437723423,0.0014389641942542826,4629629.62962963,9259259.25925926,6666.666666666666,13333.333333333332,6666.666666666666,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR3x1_ASAP7_6t_L,C,Y,fall,5.0,0.046079999999999996,0.7,25.0,198.777,2.0,2.16e-07,1.08e-07,0,1,1,1.791759469228055,0.04504984455370874,4629629.62962963,9259259.25925926,213333.3333333333,426666.6666666666,426666.6666666666,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR2x1_ASAP7_6t_L,A,Y,rise,320.0,0.0057599999999999995,0.7,25.0,69.9876,2.0,2.16e-07,1.08e-07,0,1,1,5.771441123130016,0.005743474627065725,4629629.62962963,9259259.25925926,26666.666666666664,53333.33333333333,26666.666666666664,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR2x1_ASAP7_6t_L,B,Y,fall,320.0,0.046079999999999996,0.7,25.0,285.885,2.0,2.16e-07,1.08e-07,0,1,1,5.771441123130016,0.04504984455370874,4629629.62962963,9259259.25925926,213333.3333333333,426666.6666666666,426666.6666666666,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
